gid	gname	t0	t5	t10	t15	t20	t25	t30	t35	t40	t45	t50	t55	t60	t65	t70	t75	t80	t85	t90	t95	t100	t105	t110	t115	t120
blank		-0.02813	0.04604	0.09585	0.1238	0.1203	0.09504	0.07904	0.08298	0.09218	0.09964	0.1031	0.1043	0.1027	0.09528	0.08226	0.06768	0.05152	0.03989	0.04609	0.07643	0.1137	0.1357	0.1386	0.1323	0.116
n1		-0.03694	0.012	0.04419	0.06224	0.06256	0.04996	0.03965	0.03527	0.02959	0.02149	0.01466	0.01129	0.008032	-0.002853	-0.01899	-0.02855	-0.02192	-0.004348	0.01372	0.02675	0.03557	0.03932	0.03899	0.03656	0.03268
n2		0.01157	0.03817	0.05355	0.05978	0.05686	0.04729	0.03685	0.02583	0.01252	-0.0002649	-0.01164	-0.02121	-0.02692	-0.03234	-0.03905	-0.04203	-0.0381	-0.03189	-0.03008	-0.035	-0.04103	-0.04301	-0.03942	-0.03167	-0.01897
p1		0.0843	0.08694	0.08388	0.07669	0.06248	0.04611	0.04073	0.05236	0.06772	0.07104	0.05139	0.02189	0.002894	0.002021	0.008736	0.01616	0.02994	0.04907	0.05667	0.03887	0.006606	-0.01979	-0.03361	-0.03845	-0.02948
p2		0.01517	0.03907	0.05084	0.05365	0.04679	0.03548	0.03187	0.03602	0.03672	0.02916	0.01072	-0.01012	-0.02156	-0.02096	-0.01673	-0.01363	-0.008927	0.0009612	0.01258	0.02159	0.02629	0.02718	0.02549	0.02361	0.02372
YAL001C	TFC3	0.4078	0.438	0.4517	0.4496	0.4203	0.3681	0.3176	0.2883	0.2695	0.2408	0.1864	0.1219	0.07377	0.0653	0.0847	0.1058	0.1159	0.1187	0.1125	0.09167	0.06314	0.04367	0.03902	0.04631	0.06924
YAL002W	VPS8	0.4732	0.5242	0.5482	0.5485	0.5083	0.4356	0.3717	0.3436	0.3332	0.3142	0.2771	0.2344	0.193	0.1666	0.1534	0.1369	0.1234	0.1116	0.0746	-0.01814	-0.1341	-0.2052	-0.2118	-0.1718	-0.07379
YAL003W	EFB1	-0.449	-0.3777	-0.3035	-0.2299	-0.1547	-0.08469	-0.03724	-0.0224	-0.02247	-0.01325	0.02589	0.07145	0.08138	0.01735	-0.07857	-0.1278	-0.07558	0.02281	0.08094	0.04938	-0.01991	-0.06131	-0.05544	-0.02243	0.04408
YAL004W		-2.187	-1.42	-0.8164	-0.3648	-0.06761	0.1015	0.1958	0.2039	0.1245	0.02575	-0.07663	-0.1885	-0.274	-0.3178	-0.3338	-0.3292	-0.2417	-0.133	-0.1965	-0.5871	-1.11	-1.435	-1.461	-1.28	-0.8423
YAL005C	SSA1	-0.2304	-0.3091	-0.3101	-0.2502	-0.1043	0.08972	0.2208	0.2406	0.1965	0.1207	0.0126	-0.1211	-0.2376	-0.3191	-0.3688	-0.3751	-0.3042	-0.1923	-0.1331	-0.1832	-0.2729	-0.3061	-0.2562	-0.1511	0.02323
YAL007C	ERP2	-0.3514	-0.1732	-0.004964	0.1471	0.2977	0.429	0.485	0.429	0.2972	0.1435	-0.03259	-0.2134	-0.3179	-0.2874	-0.165	-0.02262	0.09833	0.1909	0.235	0.234	0.2096	0.1695	0.113	0.02728	-0.09778
YAL009W	SPO7	-0.03062	0.03344	0.06167	0.06293	0.03156	-0.02077	-0.05916	-0.07534	-0.08298	-0.08011	-0.05345	-0.009958	0.02195	0.02459	0.009857	-0.006308	-0.02316	-0.03894	-0.03614	0.002155	0.06259	0.1172	0.1568	0.1864	0.1999
YAL010C	MDM10	-0.01368	-0.01519	-0.02497	-0.03815	-0.05751	-0.07683	-0.07775	-0.04982	-0.005432	0.03957	0.08396	0.126	0.1491	0.1433	0.1206	0.09767	0.08022	0.0675	0.06637	0.08892	0.1238	0.1427	0.1363	0.1121	0.0669
YAL011W		-0.1292	-0.04572	0.007628	0.038	0.04384	0.03507	0.03609	0.05799	0.07897	0.07403	0.02684	-0.03542	-0.07246	-0.06478	-0.03818	-0.02028	-0.0225	-0.03569	-0.05661	-0.08026	-0.09365	-0.08157	-0.04225	0.01528	0.09004
YAL012W	CYS3	-0.0141	0.1692	0.2927	0.3678	0.3933	0.3842	0.3765	0.382	0.3729	0.3257	0.2287	0.1161	0.03316	-0.006115	-0.02452	-0.03216	-0.03501	-0.02886	-0.008591	0.03051	0.08492	0.1475	0.2168	0.2951	0.3808
YAL013W	DEP1	-0.3696	-0.2933	-0.238	-0.1989	-0.1738	-0.1557	-0.1324	-0.1048	-0.08216	-0.06529	-0.04966	-0.03266	-0.01797	-0.01243	-0.01922	-0.03653	-0.07266	-0.1188	-0.1475	-0.1356	-0.09449	-0.04811	-0.006799	0.02952	0.05241
YAL014C		-0.05238	-0.06665	-0.09117	-0.1193	-0.1567	-0.1918	-0.1925	-0.1379	-0.05681	0.008577	0.04796	0.07669	0.09106	0.08313	0.05463	0.0163	-0.01946	-0.04795	-0.07002	-0.09724	-0.124	-0.1253	-0.09362	-0.03373	0.06048
YAL015C	NTG1	0.3486	0.2881	0.2281	0.1723	0.1199	0.07949	0.06769	0.09484	0.1413	0.1789	0.1902	0.1796	0.1522	0.1079	0.05697	0.01952	-0.002765	-0.01139	0.009184	0.087	0.1983	0.281	0.3141	0.3121	0.2658
YAL016W	TPD3	0.1757	0.1192	0.05868	-0.0002171	-0.055	-0.09906	-0.1206	-0.1198	-0.1106	-0.1018	-0.09041	-0.07398	-0.06169	-0.06696	-0.08759	-0.1094	-0.1273	-0.1373	-0.1267	-0.08419	-0.02849	0.008708	0.01926	0.01441	-0.008544
YAL017W	FUN31	-0.5538	-0.3165	-0.13	0.01305	0.1264	0.2135	0.2656	0.261	0.2078	0.1419	0.08142	0.02519	-0.0197	-0.04686	-0.07106	-0.1169	-0.2041	-0.3024	-0.3618	-0.352	-0.3027	-0.2542	-0.2197	-0.1879	-0.1625
YAL018C		-0.1337	-0.08299	-0.04539	-0.02113	-0.01534	-0.02342	-0.03101	-0.02292	-0.003712	0.01136	0.005995	-0.01078	-0.01626	0.009098	0.05016	0.07768	0.0749	0.05414	0.02974	0.005969	-0.02331	-0.05937	-0.1021	-0.1497	-0.201
YAL019W	FUN30	-0.1926	-0.02272	0.1072	0.1919	0.2122	0.1731	0.1055	0.02566	-0.05391	-0.1079	-0.1357	-0.1501	-0.1454	-0.1	-0.03168	0.005683	-0.02477	-0.09022	-0.14	-0.1518	-0.1465	-0.1386	-0.1323	-0.1238	-0.1154
YAL020C	ATS1	-0.4056	-0.3038	-0.2083	-0.1263	-0.06126	-0.01901	-0.01026	-0.03896	-0.08312	-0.1145	-0.1266	-0.1308	-0.1251	-0.1102	-0.09304	-0.08069	-0.0938	-0.1219	-0.1255	-0.07102	0.01702	0.0907	0.135	0.1597	0.1543
YAL021C	CCR4	-0.3626	-0.2937	-0.2231	-0.154	-0.07532	0.002829	0.04546	0.02188	-0.0407	-0.09039	-0.1052	-0.1046	-0.09883	-0.08874	-0.07108	-0.05016	0.0008371	0.06528	0.07362	-0.01837	-0.1546	-0.254	-0.2944	-0.297	-0.2462
YAL022C	FUN26	-0.08214	-0.001496	0.05074	0.07082	0.02527	-0.0739	-0.1622	-0.2038	-0.1924	-0.108	0.08357	0.3176	0.4663	0.4667	0.3762	0.2473	0.07798	-0.1091	-0.224	-0.215	-0.1256	-0.008334	0.1181	0.2632	0.4172
YAL023C	PMT2	-0.7427	-0.5331	-0.3289	-0.1391	0.05109	0.2209	0.3074	0.2639	0.1327	-0.01519	-0.1656	-0.3133	-0.4006	-0.3937	-0.3233	-0.2287	-0.1141	0.006186	0.07743	0.07586	0.03476	-0.01492	-0.06451	-0.1255	-0.1974
YAL024C	LTE1	-0.5599	-0.3369	-0.1252	0.06159	0.2146	0.3244	0.3762	0.3713	0.3321	0.2748	0.1768	0.04704	-0.05157	-0.08121	-0.06025	-0.009828	0.06965	0.1584	0.206	0.1903	0.1404	0.08259	0.0248	-0.04155	-0.1146
YAL025C	MAK16	-0.2143	-0.2983	-0.3398	-0.3495	-0.3212	-0.2655	-0.2184	-0.1806	-0.1402	-0.1138	-0.1225	-0.1676	-0.2362	-0.3248	-0.4167	-0.4791	-0.4899	-0.4698	-0.4507	-0.4607	-0.4929	-0.527	-0.5547	-0.5777	-0.5905
YAL026C	DRS2	-0.2803	-0.3009	-0.3082	-0.3032	-0.2772	-0.239	-0.2164	-0.2248	-0.2468	-0.261	-0.2516	-0.2285	-0.2092	-0.1973	-0.1846	-0.1712	-0.1758	-0.1938	-0.1899	-0.1416	-0.07834	-0.04227	-0.04438	-0.07458	-0.1436
YAL027W		0.04482	0.0008626	-0.02709	-0.04453	-0.04959	-0.04674	-0.05085	-0.07199	-0.09215	-0.08416	-0.03161	0.03337	0.06522	0.04526	0.004351	-0.02886	-0.03553	-0.03677	-0.0638	-0.1382	-0.2246	-0.2686	-0.2571	-0.2108	-0.1261
YAL029C	MYO4	0.07012	0.06761	0.06405	0.05745	0.04357	0.02226	-0.002271	-0.02578	-0.04344	-0.05027	-0.04962	-0.05258	-0.06577	-0.08782	-0.105	-0.1052	-0.08585	-0.05751	-0.02818	0.01141	0.06163	0.1012	0.1201	0.1193	0.0943
YAL030W	SNC1	0.3566	0.2424	0.1378	0.04439	-0.03984	-0.1123	-0.1644	-0.1826	-0.1668	-0.1288	-0.07107	-0.008524	0.02912	0.02527	0.001149	-0.01633	-0.02936	-0.04617	-0.04895	-0.02146	0.02141	0.05077	0.05902	0.05445	0.03202
YAL031C	FUN21	0.1301	-0.06667	-0.2069	-0.2945	-0.3209	-0.2978	-0.259	-0.2101	-0.1479	-0.09416	-0.05723	-0.03101	-0.01574	-0.004686	0.004223	0.003728	-0.01789	-0.05067	-0.06932	-0.06071	-0.0405	-0.02651	-0.02298	-0.02262	-0.02599
YAL032C	FUN20	-0.1671	-0.1574	-0.1497	-0.1429	-0.1356	-0.1254	-0.1101	-0.09162	-0.07316	-0.0542	-0.0313	-0.009972	-0.003209	-0.01487	-0.0322	-0.04322	-0.0491	-0.05445	-0.05245	-0.04069	-0.02174	0.003663	0.03516	0.07059	0.1065
YAL033W	POP5	-0.07091	-0.1565	-0.2109	-0.2352	-0.2171	-0.164	-0.1057	-0.05574	-0.01501	0.004813	-0.001988	-0.02945	-0.07166	-0.1334	-0.2012	-0.2419	-0.2507	-0.2364	-0.1874	-0.08237	0.05128	0.1528	0.204	0.2207	0.1935
YAL034C	FUN19	0.007975	-0.004107	-0.01036	-0.01101	-0.005265	0.007401	0.02636	0.05829	0.09378	0.1081	0.08119	0.02628	-0.03107	-0.07951	-0.1149	-0.1224	-0.08607	-0.02461	0.02464	0.04494	0.04781	0.0383	0.01896	-0.008517	-0.04036
YAL034W-A	MTW1	-0.1315	0.002768	0.1123	0.1902	0.2233	0.2111	0.1661	0.09385	0.01122	-0.05252	-0.1018	-0.1441	-0.1551	-0.1025	-0.007376	0.07477	0.1165	0.1288	0.1144	0.07982	0.03492	-0.0128	-0.06383	-0.1257	-0.2015
YAL035W	FUN12	0.00194	-0.08098	-0.1365	-0.1619	-0.1307	-0.05617	0.004409	0.01681	-0.0008823	-0.02744	-0.04879	-0.06101	-0.05813	-0.04216	-0.02636	-0.02152	-0.04142	-0.07682	-0.104	-0.1109	-0.1022	-0.07943	-0.04323	0.006117	0.06766
YAL036C	FUN11	-0.1074	-0.1167	-0.121	-0.1184	-0.101	-0.07236	-0.04756	-0.03526	-0.03619	-0.05354	-0.0783	-0.1027	-0.1318	-0.1803	-0.242	-0.2911	-0.3329	-0.3601	-0.3275	-0.1915	-0.01069	0.1076	0.1321	0.09091	-0.03427
YAL037W		-0.2332	-0.2909	-0.3248	-0.3391	-0.332	-0.3102	-0.2903	-0.2728	-0.2585	-0.2641	-0.2982	-0.3372	-0.3496	-0.3202	-0.2774	-0.2558	-0.2785	-0.3188	-0.3365	-0.3126	-0.2739	-0.2485	-0.2459	-0.2604	-0.2978
YAL038W	CDC19	-0.3565	-0.2805	-0.2328	-0.205	-0.1963	-0.1971	-0.1858	-0.1617	-0.1448	-0.1447	-0.1527	-0.1533	-0.1459	-0.1357	-0.1322	-0.1409	-0.1358	-0.1259	-0.1689	-0.3187	-0.5012	-0.5825	-0.5273	-0.3797	-0.1246
YAL039C	CYC3	0.6531	0.3948	0.1745	-0.004619	-0.1243	-0.1862	-0.2171	-0.2494	-0.2782	-0.274	-0.1962	-0.07133	0.02944	0.06574	0.04698	-0.02351	-0.1738	-0.3536	-0.4419	-0.3679	-0.2053	-0.04943	0.06932	0.1736	0.2472
YAL040C	CLN3	0.3653	0.1826	-0.03809	-0.2682	-0.5263	-0.7715	-0.8861	-0.8091	-0.6191	-0.408	-0.1513	0.1382	0.3131	0.274	0.08174	-0.1706	-0.4501	-0.7225	-0.8928	-0.9361	-0.9023	-0.8094	-0.6625	-0.4514	-0.1706
YAL041W	CDC24	0.1654	0.002283	-0.1176	-0.1952	-0.2258	-0.2163	-0.1856	-0.1221	-0.03068	0.04537	0.0851	0.1002	0.09616	0.07573	0.04582	0.01802	-0.005635	-0.0278	-0.04387	-0.05162	-0.04474	-0.01247	0.0463	0.1275	0.2342
YAL042W	FUN9	-0.7875	-0.5248	-0.3278	-0.1846	-0.08836	-0.02873	0.01137	0.02408	0.007423	-0.01268	-0.01843	-0.01388	-0.005845	0.002994	0.01564	0.03381	0.03514	0.007625	-0.03151	-0.06572	-0.08129	-0.06519	-0.01596	0.05255	0.1304
YAL043C	PTA1	0.09565	0.03674	-0.01333	-0.05109	-0.07461	-0.08059	-0.06354	-0.02134	0.03235	0.07939	0.1227	0.1624	0.176	0.1458	0.08885	0.03485	-0.01963	-0.07102	-0.07916	-0.008778	0.1067	0.2042	0.2632	0.2959	0.2885
YAL043C-A		-0.6907	-0.646	-0.5614	-0.4513	-0.2918	-0.1088	0.008266	0.009999	-0.05158	-0.1135	-0.1536	-0.1733	-0.1443	-0.03558	0.1042	0.183	0.1645	0.06641	-0.1215	-0.4304	-0.7667	-0.9537	-0.9446	-0.8025	-0.515
YAL044C	GCV3	0.1957	0.09528	0.02588	-0.01124	-0.005225	0.03703	0.0902	0.1503	0.214	0.257	0.2764	0.2764	0.243	0.1417	0.007583	-0.06844	-0.05356	0.01928	0.1422	0.3306	0.5429	0.6865	0.7371	0.7249	0.6385
YAL045C		0.1852	0.2005	0.2062	0.2038	0.195	0.1854	0.182	0.1875	0.1897	0.1732	0.121	0.05406	0.01428	0.02518	0.05938	0.08219	0.06524	0.02718	0.003897	0.0297	0.08947	0.1449	0.1811	0.2	0.1886
YAL046C		0.4129	0.3325	0.2772	0.2476	0.2593	0.3015	0.3357	0.339	0.3229	0.3004	0.2742	0.249	0.241	0.2544	0.2766	0.2982	0.3094	0.3141	0.3234	0.3556	0.4062	0.4516	0.4817	0.499	0.4986
YAL047C	SPC72	-0.1137	0.03049	0.1432	0.221	0.2514	0.2376	0.1999	0.1515	0.1029	0.07131	0.0546	0.04045	0.0303	0.02624	0.02963	0.04081	0.06589	0.09526	0.1058	0.08664	0.05726	0.03958	0.03823	0.04478	0.06155
YAL048C		-0.1075	-0.03979	0.004253	0.02726	0.02327	-0.0004548	-0.02147	-0.0342	-0.04092	-0.03093	0.000986	0.03641	0.05055	0.03202	0.002175	-0.01468	0.001068	0.02872	0.03205	-0.01061	-0.07346	-0.1215	-0.1436	-0.1482	-0.1288
YAL049C		-0.000434	0.07095	0.1183	0.1408	0.1387	0.1144	0.07116	-0.02455	-0.1574	-0.2509	-0.2679	-0.2353	-0.1725	-0.08397	0.01431	0.08605	0.132	0.1636	0.1608	0.1101	0.03694	-0.01972	-0.0482	-0.05974	-0.04984
YAL051W	YAF1	0.07462	0.05042	0.04105	0.03886	0.04243	0.04428	0.0276	-0.01724	-0.06786	-0.09308	-0.07826	-0.04602	-0.02107	-0.01329	-0.01083	-0.00576	0.0004541	0.005578	0.01635	0.03619	0.0608	0.08531	0.1077	0.1267	0.1385
YAL053W		0.2899	0.3082	0.3109	0.2959	0.2747	0.2409	0.1656	0.008453	-0.1997	-0.381	-0.5172	-0.6109	-0.6156	-0.4778	-0.2527	-0.05696	0.07257	0.1491	0.1308	-0.01792	-0.2313	-0.3987	-0.4899	-0.5403	-0.5381
YAL054C	ACS1	0.2939	0.2753	0.2425	0.1997	0.1453	0.08645	0.03959	0.007139	-0.01916	-0.03891	-0.05174	-0.04968	-0.02092	0.0479	0.1347	0.1979	0.2181	0.2147	0.2047	0.1872	0.1578	0.1281	0.1029	0.08067	0.06403
YAL055W		-0.009026	-0.06263	-0.1063	-0.14	-0.1647	-0.1798	-0.1824	-0.1685	-0.142	-0.1122	-0.07917	-0.04773	-0.03468	-0.05432	-0.09051	-0.1143	-0.1171	-0.1106	-0.09584	-0.06749	-0.02896	0.004948	0.02911	0.04499	0.04769
YAL056W		-0.0365	-0.06298	-0.09216	-0.1218	-0.1583	-0.1962	-0.2149	-0.1987	-0.1622	-0.1307	-0.1125	-0.09913	-0.09047	-0.09069	-0.0978	-0.1024	-0.09537	-0.08094	-0.06927	-0.06742	-0.07142	-0.07493	-0.07544	-0.07323	-0.06615
YAL058C-A		0.07889	0.05761	0.0432	0.03544	0.04019	0.05238	0.05542	0.03644	0.008117	-0.007845	0.004112	0.03038	0.04893	0.0464	0.03253	0.01992	-0.0004045	-0.02865	-0.03903	-0.0021	0.06222	0.1057	0.112	0.08824	0.02188
YAL058W	CNE1	0.003648	0.02503	0.0397	0.04763	0.05366	0.0586	0.05641	0.0328	-0.003196	-0.02257	-0.008343	0.02258	0.04842	0.05504	0.05014	0.04463	0.06141	0.08511	0.06923	-0.02462	-0.1511	-0.2313	-0.2422	-0.2058	-0.1107
YAL059W	ECM1	-0.0763	-0.2134	-0.3002	-0.3404	-0.3165	-0.2395	-0.1557	-0.07562	-0.0002119	0.03848	0.02012	-0.0407	-0.1237	-0.2361	-0.3601	-0.4382	-0.4437	-0.3997	-0.3229	-0.2063	-0.07416	0.009429	0.02612	-0.00355	-0.08523
YAL060W		-0.1418	0.1198	0.3111	0.4372	0.481	0.4526	0.3988	0.3202	0.2275	0.1816	0.2368	0.3542	0.455	0.4976	0.4956	0.4528	0.349	0.2165	0.1374	0.1483	0.2101	0.2908	0.3814	0.489	0.6059
YAL061W		0.03714	0.1772	0.2564	0.2848	0.2445	0.1578	0.09471	0.08239	0.08912	0.09633	0.1023	0.1162	0.1356	0.1589	0.1812	0.1945	0.1916	0.1794	0.1707	0.1682	0.1748	0.2035	0.2578	0.3315	0.4235
YAL062W	GDH3	-0.3241	-0.009826	0.2059	0.3342	0.3506	0.282	0.2163	0.1832	0.1673	0.1891	0.2715	0.3994	0.5353	0.676	0.8069	0.873	0.8318	0.7062	0.5389	0.3391	0.1453	0.04441	0.0585	0.1498	0.3154
YAL063C	FLO9	0.1345	0.1222	0.1185	0.1207	0.1309	0.1451	0.1504	0.1373	0.1099	0.0767	0.03518	-0.009862	-0.03893	-0.03735	-0.0138	0.01614	0.03058	0.03871	0.0716	0.166	0.2902	0.3727	0.3904	0.3581	0.2611
YAL064C-A		-0.2356	-0.2457	-0.2308	-0.1981	-0.1371	-0.06348	-0.02398	-0.04227	-0.09263	-0.1477	-0.202	-0.2487	-0.2575	-0.1981	-0.09994	-0.02272	0.009528	0.006762	-0.03975	-0.1531	-0.2979	-0.3946	-0.4199	-0.3971	-0.3178
YAL064W-B		-0.412	-0.3383	-0.2589	-0.1739	-0.07009	0.04367	0.1338	0.184	0.1958	0.1634	0.07017	-0.05327	-0.1426	-0.1671	-0.1499	-0.1068	-0.03244	0.0529	0.09487	0.06683	0.008627	-0.0345	-0.05018	-0.05365	-0.04112
YAL065C		0.09919	0.05245	0.02454	0.01092	0.01819	0.03701	0.03893	0.00432	-0.05289	-0.1108	-0.1633	-0.205	-0.2145	-0.1731	-0.1071	-0.0629	-0.06658	-0.09602	-0.1255	-0.1384	-0.1385	-0.1304	-0.116	-0.09607	-0.07403
YAL067C	SEO1	0.6731	1.057	1.24	1.266	1.106	0.8248	0.604	0.5033	0.4308	0.3415	0.2405	0.1729	0.1542	0.1827	0.2157	0.2075	0.1257	0.01837	-0.03976	-0.008353	0.0666	0.1305	0.1665	0.189	0.1901
YAL068C		-0.1945	-0.04387	0.05973	0.1185	0.116	0.06454	0.00899	-0.03206	-0.0766	-0.1345	-0.2179	-0.294	-0.3045	-0.2144	-0.0857	-0.006128	-0.03472	-0.1169	-0.1701	-0.1452	-0.08693	-0.05326	-0.06095	-0.09542	-0.1677
YAL069W		-0.3519	-0.1955	-0.0628	0.04048	0.1168	0.1613	0.1572	0.08476	-0.02585	-0.117	-0.1789	-0.2169	-0.1962	-0.07783	0.08473	0.1874	0.1607	0.05105	-0.07082	-0.1775	-0.2709	-0.3246	-0.3332	-0.3103	-0.2584
YAR002C-A	ERP1	-0.04925	-0.007367	0.05845	0.1403	0.2512	0.3725	0.4488	0.4546	0.4068	0.3133	0.1581	-0.02353	-0.147	-0.1708	-0.1309	-0.05896	0.03406	0.1435	0.247	0.3498	0.439	0.4652	0.4146	0.3009	0.1164
YAR002W		0.2775	0.1251	0.01646	-0.04984	-0.05939	-0.02414	0.01491	0.0379	0.0534	0.06299	0.07649	0.09249	0.09583	0.0681	0.02243	-0.009063	-0.007057	0.01984	0.06181	0.1169	0.1742	0.2102	0.219	0.2108	0.1859
YAR003W		-0.2297	0.07671	0.3044	0.4494	0.4876	0.4279	0.3163	0.1563	-0.03096	-0.1731	-0.2431	-0.262	-0.2304	-0.1276	0.01704	0.1287	0.1808	0.1981	0.1824	0.1247	0.03686	-0.04782	-0.1192	-0.1872	-0.2488
YAR007C	RFA1	-1.199	-0.3166	0.347	0.7868	0.9425	0.838	0.5941	0.2193	-0.2457	-0.6323	-0.8919	-1.025	-0.9396	-0.5156	0.07761	0.5021	0.5963	0.5015	0.3332	0.126	-0.1086	-0.2889	-0.394	-0.4556	-0.4716
YAR009C		1.487	1.523	1.5	1.425	1.258	1.028	0.8384	0.7637	0.7584	0.7491	0.6803	0.5705	0.4573	0.3826	0.3537	0.3558	0.4508	0.5657	0.4838	0.03047	-0.5637	-0.9073	-0.8904	-0.6287	-0.06957
YAR010C		-0.3884	-0.001081	0.3424	0.6196	0.85	1.021	1.063	0.9391	0.7195	0.4923	0.2337	-0.04325	-0.196	-0.07314	0.2169	0.4274	0.4866	0.4242	0.1453	-0.5151	-1.406	-2.148	-2.615	-2.892	-2.917
YAR014C		0.3617	0.2012	0.08693	0.01532	0.002912	0.03721	0.07122	0.08868	0.09919	0.09446	0.06319	0.01723	-0.01694	-0.02549	-0.01934	-0.009075	0.005594	0.02187	0.02456	0.002343	-0.02888	-0.04346	-0.03453	-0.009486	0.0359
YAR015W	ADE1	0.5968	0.8782	1.011	1.02	0.8628	0.5958	0.3921	0.3295	0.3351	0.3557	0.3881	0.4308	0.4332	0.3562	0.2366	0.1375	0.09381	0.08466	0.08904	0.09732	0.1212	0.1719	0.2497	0.3466	0.4605
YAR018C	KIN3	-0.3212	-0.2886	-0.286	-0.3086	-0.3966	-0.521	-0.5733	-0.4867	-0.2759	0.04623	0.5306	1.054	1.344	1.242	0.9094	0.5544	0.2407	-0.05527	-0.2578	-0.3391	-0.3184	-0.1905	0.04285	0.3747	0.802
YAR019C	CDC15	0.1689	0.09361	0.03896	0.003445	-0.008553	-0.002968	0.003214	-0.001706	-0.0042	0.01659	0.08495	0.1718	0.2178	0.1885	0.1217	0.06561	0.03832	0.02891	0.04277	0.08947	0.1529	0.2002	0.2198	0.2192	0.1934
YAR020C	PAU7	0.08193	0.1212	0.1345	0.1272	0.08507	0.02265	-0.01171	0.01395	0.07143	0.1189	0.138	0.1452	0.1501	0.1582	0.1617	0.151	0.11	0.05879	0.04274	0.09131	0.1694	0.2252	0.2439	0.2406	0.2092
YAR027W		0.3224	0.3763	0.3822	0.3495	0.2675	0.1553	0.06712	0.0188	-0.01443	-0.03944	-0.05236	-0.04645	-0.02417	0.01754	0.06427	0.08743	0.07063	0.03644	0.01466	0.0184	0.03284	0.04585	0.05325	0.05683	0.0534
YAR028W		0.1594	0.07824	0.02097	-0.01255	-0.01269	0.01303	0.03868	0.05295	0.05994	0.05694	0.04309	0.02041	-0.009573	-0.05298	-0.09862	-0.119	-0.09973	-0.06014	-0.02388	0.002745	0.02524	0.03769	0.03806	0.02726	0.003751
YAR029W		0.7632	0.7591	0.7228	0.661	0.5583	0.4331	0.3418	0.3259	0.3514	0.3615	0.3229	0.2596	0.2019	0.1719	0.1638	0.1658	0.1597	0.148	0.1502	0.1816	0.2166	0.2129	0.16	0.07105	-0.06122
YAR030C		-0.1652	-0.1384	-0.1145	-0.08933	-0.05581	-0.0154	0.02282	0.04798	0.05621	0.04895	0.04239	0.03249	-0.00967	-0.1053	-0.2117	-0.2622	-0.2135	-0.114	-0.03351	-0.006177	-0.007314	-0.01852	-0.03512	-0.06706	-0.1179
YAR031W		0.1338	0.07085	0.02494	-0.002913	-0.005	0.01258	0.03008	0.03538	0.03412	0.03318	0.0401	0.05016	0.05181	0.03485	0.01112	0.002129	0.02286	0.05812	0.0842	0.08899	0.08393	0.08067	0.08312	0.08888	0.1001
YAR033W		0.6351	0.4444	0.2889	0.1703	0.09735	0.06583	0.05809	0.07277	0.1041	0.1279	0.1392	0.1457	0.142	0.1222	0.09408	0.07219	0.07647	0.0937	0.08884	0.03511	-0.04147	-0.0967	-0.1172	-0.1126	-0.07319
YAR035W	YAT1	-0.01544	0.05858	0.1324	0.1996	0.265	0.3204	0.3392	0.2988	0.2239	0.1591	0.1151	0.08156	0.07241	0.1062	0.1693	0.2277	0.2574	0.2651	0.2617	0.2559	0.2476	0.2345	0.2152	0.1862	0.1419
YAR042W	SWH1	-0.402	-0.4966	-0.5283	-0.5112	-0.4294	-0.307	-0.2184	-0.181	-0.1722	-0.2059	-0.3081	-0.4302	-0.474	-0.3566	-0.1557	-0.01402	-0.02626	-0.1395	-0.2752	-0.4105	-0.5361	-0.5934	-0.5702	-0.4975	-0.3816
YAR044W	OSH1	-0.4615	-0.351	-0.2592	-0.1847	-0.1259	-0.0797	-0.04246	-0.01168	0.006387	0.002133	-0.03855	-0.09207	-0.1115	-0.06505	0.006618	0.04201	0.009608	-0.06427	-0.1544	-0.261	-0.3683	-0.4266	-0.4231	-0.3762	-0.2828
YAR050W	FLO1	0.1229	0.07492	0.04706	0.03621	0.0529	0.09017	0.1186	0.1182	0.09641	0.06543	0.02494	-0.01804	-0.04037	-0.03084	-0.00763	0.008369	-0.005047	-0.02601	-0.00933	0.08164	0.206	0.2927	0.3202	0.3076	0.2442
YAR061W		-0.09884	-0.0285	0.02184	0.05223	0.05139	0.02779	0.0112	0.01578	0.0292	0.04145	0.04188	0.03819	0.04793	0.09238	0.1541	0.1924	0.1838	0.1483	0.1105	0.08266	0.06041	0.04351	0.03107	0.02152	0.01358
YAR062W		0.05394	-0.05904	-0.1146	-0.1239	-0.06114	0.0451	0.1025	0.05813	-0.03697	-0.1191	-0.1615	-0.1774	-0.163	-0.1043	-0.02097	0.04021	0.06505	0.05645	-0.006535	-0.158	-0.3532	-0.4951	-0.5536	-0.5548	-0.486
YAR066W		-0.08269	-0.08921	-0.08169	-0.06491	-0.02479	0.02686	0.0464	0.01097	-0.05347	-0.1174	-0.1839	-0.2445	-0.252	-0.1657	-0.02603	0.09208	0.1558	0.1714	0.1225	-0.01087	-0.182	-0.3068	-0.3617	-0.373	-0.3319
YAR068W		0.03715	-0.08926	-0.1542	-0.1687	-0.1078	0.003231	0.07849	0.08074	0.04724	0.003681	-0.06745	-0.1548	-0.1893	-0.1128	0.03703	0.1852	0.3015	0.3764	0.366	0.2417	0.05708	-0.1087	-0.2315	-0.3334	-0.4044
